vibration,temperature,load,rpm,pressure,humidity,age_years,flow,wear
1.2877,43.06,0.9978,984.5,4.8036,29.68,1.84,37.166,30.7816
1.8047,85.57,0.3253,2366.2,3.5647,51.87,2.844,38.853,64.4462
1.5738,30.86,0.8503,1444.9,1.8051,90.08,7.154,32.271,58.3821
0.5279,56.01,0.5289,2780.4,2.0792,71.95,11.24,5.114,19.9943
0.6703,26.41,0.8266,2766.0,2.8965,57.94,5.661,10.268,15.9624
1.7598,87.58,0.9134,2860.1,2.6556,54.3,2.41,25.555,70.0146
0.11,60.28,0.9936,1363.5,1.3053,68.94,7.136,38.435,14.9121
1.6603,76.26,0.4128,801.4,3.0319,63.25,11.49,7.851,60.1112
1.6144,39.73,0.5624,1652.7,3.2436,38.59,10.417,23.023,56.4007
0.9891,76.13,0.9542,2917.6,2.4354,17.88,10.787,18.877,38.4751
0.6758,69.2,0.9566,2480.2,2.9215,27.08,4.926,19.239,22.7851
0.629,65.06,0.4983,931.3,2.6619,76.53,3.148,14.4,15.286
0.5843,86.54,0.9522,2345.7,2.8842,63.93,10.447,14.476,23.2962
0.9456,50.34,0.5247,2817.5,4.0952,77.76,9.457,13.343,23.4631
1.0586,49.06,0.4998,2929.0,3.4867,13.78,10.217,8.611,30.5169
1.1516,68.45,0.8053,2375.2,1.9879,86.57,4.695,24.392,39.7753
1.9915,78.45,0.577,2698.6,4.9763,42.49,3.434,20.608,77.5279
1.6061,43.46,0.5586,2651.7,3.5659,88.72,2.884,29.953,52.7416
1.2821,66.88,0.5089,1588.3,3.2918,60.53,10.447,27.398,39.3929
1.979,34.63,0.5462,1017.9,4.5667,56.52,11.033,38.348,74.6874
0.5091,58.62,0.3119,2400.4,4.7607,79.54,4.406,16.887,6.8091
0.4044,73.84,0.2488,1101.2,5.2453,63.16,10.494,35.887,10.0432
1.2638,24.57,0.8032,1645.2,5.0562,67.34,4.577,18.467,32.5376
0.1835,70.95,0.6516,2990.6,4.3451,23.4,5.375,28.124,10.6698
0.1678,21.08,0.7375,2031.5,4.6056,61.38,6.798,33.174,5.0418
